scenario,behavior_case,reference_scenario,reference_behavior_case,market_case,horizon_months,metric,median,p10,p90,probability_positive,probability_negative
employee_ownership_partial,governance_costly,traditional_company,governance_costly,default_market,240,productive_capacity_growth_rate,0.009540865079760097,0.007340176054289027,0.06840482224027135,1,0
employee_ownership_partial,governance_costly,traditional_company,governance_costly,default_market,240,risk_adjusted_employee_income,-1171.9974003167008,-5303.708997415949,-829.1782913766466,0,1
employee_ownership_partial,governance_costly,traditional_company,governance_costly,default_market,240,sustainable_development_value_proxy,1.8995425975925326e+06,181482.28648645882,3.3572841585319564e+07,0.922,0.078
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,60,average_employee_income_monthly,-219.80449263651826,-7575.511441583943,-115.96420992588537,0,1
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,60,capacity_cagr,0.0010181102800621566,0.0008630050932718958,0.011618622579341532,1,0
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,60,cash_end_total,-4.10016652876819e+06,-5.130665654039372e+06,6.863835283296089e+06,0.273,0.727
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,60,cash_end_unrestricted,-3.996733341710195e+06,-5.032389954082054e+06,7.013453567659486e+06,0.273,0.727
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,60,cumulative_net_profit,-3.0299184876780612e+06,-4.215206305112728e+06,7.660299171642056e+06,0.273,0.727
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,60,cumulative_operating_profit,-3.628633558385427e+06,-4.749766549040829e+06,6.900474107087562e+06,0.273,0.727
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,60,cumulative_revenue,-8.295033336880088e+06,-3.4290133358332956e+08,-2.860454052513635e+06,0,1
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,60,final_headcount,-3.609677332504475,-4.788342930296073,6.854451555225855,0.272,0.728
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,60,productive_capacity_added_total,65276.11034917743,48552.389796532494,75131.40516159295,1,0
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,60,productive_capacity_growth_rate,0.004687515466209324,0.003966001030471266,0.05468054849293095,1,0
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,60,risk_adjusted_employee_income,-224.52713630541984,-18841.992171388294,-122.84614589538977,0,1
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,60,sustainable_development_value_proxy,-3.4567659629186243e+06,-4.549147872462076e+06,1.6081681211333293e+07,0.273,0.727
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,120,average_employee_income_monthly,-1222.8428413946895,-10541.510992973828,-935.2563760363977,0,1
employee_ownership_partial,moderate_positive,profit_sharing,moderate_positive,default_market,120,capacity_cagr,0.001265312603362434,0.001050883740213371,0.00826168067635491,1,0
