parameter_path,parameter_value,scenario,behavior_case,horizon_months,metric,median_value,median_paired_delta,classification
behavior_cases.moderate_positive.ownership_retention_delta_annual_pp_per_full_ownership,0.05,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.5589310560988164e+08,4.638412560506687e+06,development_dominant
behavior_cases.moderate_positive.ownership_retention_delta_annual_pp_per_full_ownership,0.05,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.5589310560988164e+08,4.638412560506687e+06,development_dominant
behavior_cases.negative_fairness_free_rider.free_rider_base_penalty,0,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.642625412420408e+08,-6.597128381194249e+06,risk_constrained
behavior_cases.negative_fairness_free_rider.free_rider_base_penalty,0,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.5546621649697685e+08,4.0320661045244336e+06,development_dominant
behavior_cases.negative_fairness_free_rider.free_rider_base_penalty,0,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.5546621649697685e+08,4.0320661045244336e+06,development_dominant
behavior_cases.negative_fairness_free_rider.free_rider_base_penalty,0.01,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.642625412420408e+08,-6.597128381194249e+06,risk_constrained
behavior_cases.negative_fairness_free_rider.free_rider_base_penalty,0.01,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.5546621649697685e+08,4.0320661045244336e+06,development_dominant
behavior_cases.negative_fairness_free_rider.free_rider_base_penalty,0.01,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.5546621649697685e+08,4.0320661045244336e+06,development_dominant
behavior_cases.negative_fairness_free_rider.free_rider_base_penalty,0.03,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.642625412420408e+08,-6.597128381194249e+06,risk_constrained
behavior_cases.negative_fairness_free_rider.free_rider_base_penalty,0.03,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.5546621649697685e+08,4.0320661045244336e+06,development_dominant
behavior_cases.negative_fairness_free_rider.free_rider_base_penalty,0.03,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.5546621649697685e+08,4.0320661045244336e+06,development_dominant
behavior_cases.negative_fairness_free_rider.free_rider_base_penalty,0.07,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.642625412420408e+08,-6.597128381194249e+06,risk_constrained
behavior_cases.negative_fairness_free_rider.free_rider_base_penalty,0.07,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.5546621649697685e+08,4.0320661045244336e+06,development_dominant
behavior_cases.negative_fairness_free_rider.free_rider_base_penalty,0.07,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.5546621649697685e+08,4.0320661045244336e+06,development_dominant
company_economics.required_cash_reserve_months,1,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.6504640934286702e+08,-5.356973937561467e+06,risk_constrained
company_economics.required_cash_reserve_months,1,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.5507376287748462e+08,3.712168542054862e+06,development_dominant
company_economics.required_cash_reserve_months,1,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.5507376287748462e+08,3.712168542054862e+06,development_dominant
company_economics.required_cash_reserve_months,2,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.642625412420408e+08,-6.597128381194249e+06,risk_constrained
company_economics.required_cash_reserve_months,2,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.5546621649697685e+08,4.0320661045244336e+06,development_dominant
company_economics.required_cash_reserve_months,2,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.5546621649697685e+08,4.0320661045244336e+06,development_dominant
company_economics.required_cash_reserve_months,3,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.6023859755394354e+08,-1.0417442753516212e+07,risk_constrained
company_economics.required_cash_reserve_months,3,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.5418212919523442e+08,2.9547295545685887e+06,development_dominant
company_economics.required_cash_reserve_months,3,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.5418212919523442e+08,2.9547295545685887e+06,development_dominant
company_economics.required_cash_reserve_months,6,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.557301021210137e+08,-1.626300122703582e+06,development_tradeoff
company_economics.required_cash_reserve_months,6,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.557301021210137e+08,-1.626300122703582e+06,development_tradeoff
company_economics.required_cash_reserve_months,6,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.557301021210137e+08,-1.626300122703582e+06,development_tradeoff
market.revenue_collection_rate_current_month,0.7,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.6293555312970743e+08,-6.575964930754095e+06,risk_constrained
market.revenue_collection_rate_current_month,0.7,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.558208874477712e+08,3.872194244677007e+06,development_dominant
market.revenue_collection_rate_current_month,0.7,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.558208874477712e+08,3.872194244677007e+06,development_dominant
market.revenue_collection_rate_current_month,0.85,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.642625412420408e+08,-6.597128381194249e+06,risk_constrained
market.revenue_collection_rate_current_month,0.85,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.5546621649697685e+08,4.0320661045244336e+06,development_dominant
market.revenue_collection_rate_current_month,0.85,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.5546621649697685e+08,4.0320661045244336e+06,development_dominant
market.revenue_collection_rate_current_month,1,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.661415868045781e+08,-6.345456111143112e+06,risk_constrained
market.revenue_collection_rate_current_month,1,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.55037084815821e+08,3.831604106360376e+06,development_dominant
market.revenue_collection_rate_current_month,1,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.55037084815821e+08,3.831604106360376e+06,development_dominant
market.shock_revenue_multiplier,0.6,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.6166012821865037e+08,-6.103784557160467e+06,risk_constrained
market.shock_revenue_multiplier,0.6,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.563482458173625e+08,3.753389059990108e+06,development_dominant
market.shock_revenue_multiplier,0.6,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.563482458173625e+08,3.753389059990108e+06,development_dominant
market.shock_revenue_multiplier,0.8,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.642625412420408e+08,-6.597128381194249e+06,risk_constrained
market.shock_revenue_multiplier,0.8,worker_cooperative,moderate_positive,120,sustainable_development_value_proxy,1.5546621649697685e+08,4.0320661045244336e+06,development_dominant
market.shock_revenue_multiplier,0.8,worker_cooperative,moderate_positive,240,sustainable_development_value_proxy,1.5546621649697685e+08,4.0320661045244336e+06,development_dominant
market.shock_revenue_multiplier,0.9,worker_cooperative,moderate_positive,60,sustainable_development_value_proxy,1.6581926385880655e+08,-6.399608897181943e+06,risk_constrained
